Batch_No,	API_Lot_No,	Blend_Time,	Compressor,	Inlet_Temp,	Spray_Rate,	Dissolution
127E,	12345A,	14.1,	Compress2,	108.8,	388.6,	71.95
131A,	12345A,	11.9,	Compress2,	105.7,	395,	75.08
137G,	12345A,	16.4,	Compress1,	108.4,	398.7,	73.16
141C,	12345A,	13.1,	Compress2,	108.6,	398.6,	71.05
157C,	12345A,	16.8,	Compress2,	108.1,	401.9,	73.98
159E,	12345A,	15.2,	Compress2,	107.8,	397,	79.07
161G,	12345A,	17,	Compress2,	107.4,	402.6,	79.26
171A,	12345A,	13.3,	Compress2,	108.2,	398.8,	75.19
201G,	12345A,	14.7,	Compress2,	107.9,	401.1,	70.68
202H,	12345A,	13.4,	Compress1,	106.9,	391.1,	77.55
212B,	12345A,	16.1,	Compress1,	107.3,	398,	80.13
126D,	12345B,	13.7,	Compress1,	106.3,	394.4,	71.35
128F,	12345B,	13.8,	Compress2,	107.9,	401,	70.34
136F,	12345B,	14.9,	Compress1,	106.6,	403.1,	73.2
142D,	12345B,	16.6,	Compress1,	106.5,	392.2,	76.85
150D,	12345B,	17.1,	Compress1,	107.6,	395.2,	74.82
160F,	12345B,	13.7,	Compress1,	106.9,	397.2,	72.63
167E,	12345B,	16.6,	Compress2,	106,	397.3,	77.37
178H,	12345B,	13.9,	Compress2,	106.5,	393.2,	75.55
194H,	12345B,	15.3,	Compress1,	107.3,	404.1,	66.17
208F,	12345B,	12,	Compress1,	105.1,	398.4,	71.89
143E,	12345C,	16.5,	Compress2,	107.1,	398.4,	71.35
145G,	12345C,	15.9,	Compress2,	105.7,	401.9,	66.84
146H,	12345C,	17.6,	Compress2,	105.5,	405.1,	67.88
158D,	12345C,	13.4,	Compress1,	106.2,	397.8,	68.14
170H,	12345C,	15.5,	Compress2,	108.5,	407.1,	70.76
176F,	12345C,	15.2,	Compress1,	106.9,	389.3,	74.2
199E,	12345C,	14.2,	Compress2,	105.6,	401.1,	69.89
211A,	12345C,	17.6,	Compress1,	106.3,	399.8,	74.15
124B,	98765A,	14,	Compress2,	108.6,	402.7,	70.03
130H,	98765A,	16.5,	Compress1,	107.3,	401,	74.05
148B,	98765A,	15,	Compress2,	106.7,	402.7,	73.66
156B,	98765A,	14,	Compress1,	107.6,	407.7,	71.32
163A,	98765A,	14.1,	Compress1,	106.5,	393.1,	75.5
164B,	98765A,	14.4,	Compress1,	104.6,	407.7,	76.67
166D,	98765A,	16.7,	Compress1,	105.7,	398.9,	77.56
169G,	98765A,	14.5,	Compress2,	106.8,	394.5,	78.12
174D,	98765A,	11.1,	Compress1,	105.9,	395.4,	72.94
175E,	98765A,	11,	Compress2,	108.8,	389.4,	72.54
185G,	98765A,	15.9,	Compress2,	105.7,	393.7,	80.23
193G,	98765A,	15.6,	Compress2,	107,	407.3,	78.89
205C,	98765A,	13.7,	Compress1,	108,	407.1,	73.26
207E,	98765A,	14.3,	Compress2,	107.9,	395.1,	76.19
140B,	98765B,	14.4,	Compress2,	106.4,	398.1,	72.44
162H,	98765B,	14.2,	Compress2,	106.6,	403.9,	75.87
165C,	98765B,	16.2,	Compress1,	107,	402.2,	72.5
180B,	98765B,	15.7,	Compress2,	105.7,	396,	73.33
181C,	98765B,	14.1,	Compress1,	108.3,	392.5,	74.08
196B,	98765B,	15.5,	Compress1,	108.6,	400.5,	71.27
125C,	98765C,	12.8,	Compress2,	106.3,	396,	66.34
135E,	98765C,	15.3,	Compress2,	105.8,	397.2,	72.11
138H,	98765C,	15.4,	Compress1,	108.4,	411.8,	66.7
149C,	98765C,	16.1,	Compress1,	106.3,	397,	72.88
155A,	98765C,	16.8,	Compress2,	107.2,	399.2,	74.04
179A,	98765C,	16.2,	Compress1,	106.5,	403.1,	73.3
182D,	98765C,	17.2,	Compress2,	108.2,	399.4,	74.6
184F,	98765C,	14.3,	Compress1,	106.1,	404.4,	71.12
187A,	98765C,	17,	Compress2,	106.1,	401.4,	70.56
188B,	98765C,	13.7,	Compress1,	106.7,	400.8,	73.44
192F,	98765C,	13.7,	Compress2,	107.2,	392.7,	71.77
197C,	98765C,	16.6,	Compress1,	108.3,	404.9,	71.5
210H,	98765C,	14,	Compress2,	107.7,	404.4,	71.51
129G,	56789A,	16,	Compress1,	108.1,	402.3,	72.57
133C,	56789A,	13.8,	Compress2,	106.7,	418.5,	67.84
151E,	56789A,	14.4,	Compress1,	106.1,	403.7,	72.86
191E,	56789A,	15.1,	Compress2,	107.4,	403.6,	74.93
204B,	56789A,	15.9,	Compress2,	107.7,	400.9,	80.03
206D,	56789A,	12.2,	Compress1,	106.5,	397.2,	74.11
209G,	56789A,	16.4,	Compress1,	105.9,	396.8,	75.28
144F,	56789B,	13.6,	Compress2,	106.1,	399.3,	74.98
168F,	56789B,	17.4,	Compress2,	106.7,	407.4,	75.82
172B,	56789B,	12.9,	Compress2,	106.3,	404.7,	69.46
177G,	56789B,	14.5,	Compress2,	106.6,	399.3,	73.43
186H,	56789B,	11.7,	Compress1,	105.5,	395.4,	73.64
189C,	56789B,	15.1,	Compress2,	107.6,	398.5,	75.03
200F,	56789B,	16,	Compress2,	107.9,	404.6,	75.85
203A,	56789B,	15.6,	Compress2,	106.6,	397.7,	71.08
123A,	56789C,	15.2,	Compress1,	105.2,	403.3,	64.55
132B,	56789C,	14.1,	Compress1,	107.2,	404,	65.11
134D,	56789C,	14,	Compress1,	105.5,	408.5,	64.15
139A,	56789C,	16.3,	Compress2,	106.1,	406.3,	65.67
147A,	56789C,	14.4,	Compress2,	107.5,	407.4,	73.77
152F,	56789C,	16.1,	Compress2,	108.3,	396.7,	74.22
153G,	56789C,	15.7,	Compress2,	106.9,	404.8,	68.63
154H,	56789C,	15.2,	Compress2,	105,	390.9,	70.83
173C,	56789C,	15.8,	Compress2,	107.7,	395.6,	71.96
183E,	56789C,	14.5,	Compress2,	105.3,	391.6,	74.87
190D,	56789C,	13.2,	Compress1,	106.6,	388.4,	71.26
195A,	56789C,	17.4,	Compress1,	107.6,	401.1,	72.53
198D,	56789C,	15,	Compress2,	106.8,	394.9,	72.19
